Team1,Team2,Winner,Margin,Ground,Match_Date,Score_Card
West Indies,Afghanistan,West Indies,29 runs,Basseterre,"Jun 3, 2017",T20I # 612
West Indies,Afghanistan,West Indies,7 wickets,Basseterre,"Jun 5, 2017",T20I # 613
England,South Africa,England,9 wickets,Southampton,"Jun 21, 2017",T20I # 614
England,South Africa,South Africa,3 runs,Taunton,"Jun 23, 2017",T20I # 615
England,South Africa,England,19 runs,Cardiff,"Jun 25, 2017",T20I # 616
West Indies,India,West Indies,9 wickets,Kingston,"Jul 9, 2017",T20I # 617
Sri Lanka,India,India,7 wickets,Colombo (RPS),"Sep 6, 2017",T20I # 618
Pakistan,World-XI,Pakistan,20 runs,Lahore,"Sep 12, 2017",T20I # 619
Pakistan,World-XI,World-XI,7 wickets,Lahore,"Sep 13, 2017",T20I # 620
Pakistan,World-XI,Pakistan,33 runs,Lahore,"Sep 15, 2017",T20I # 621
England,West Indies,West Indies,21 runs,Chester-le-Street,"Sep 16, 2017",T20I # 622
India,Australia,India,9 wickets,Ranchi,"Oct 7, 2017",T20I # 623
India,Australia,Australia,8 wickets,Guwahati,"Oct 10, 2017",T20I # 624
Pakistan,Sri Lanka,Pakistan,7 wickets,Abu Dhabi,"Oct 26, 2017",T20I # 625
South Africa,Bangladesh,South Africa,20 runs,Bloemfontein,"Oct 26, 2017",T20I # 626
Pakistan,Sri Lanka,Pakistan,2 wickets,Abu Dhabi,"Oct 27, 2017",T20I # 627
South Africa,Bangladesh,South Africa,83 runs,Potchefstroom,"Oct 29, 2017",T20I # 628
Pakistan,Sri Lanka,Pakistan,36 runs,Lahore,"Oct 29, 2017",T20I # 629
India,New Zealand,India,53 runs,Delhi,"Nov 1, 2017",T20I # 630
India,New Zealand,New Zealand,40 runs,Rajkot,"Nov 4, 2017",T20I # 631
India,New Zealand,India,6 runs,Thiruvananthapuram,"Nov 7, 2017",T20I # 632
India,Sri Lanka,India,93 runs,Cuttack,"Dec 20, 2017",T20I # 633
India,Sri Lanka,India,88 runs,Indore,"Dec 22, 2017",T20I # 634
India,Sri Lanka,India,5 wickets,Mumbai,"Dec 24, 2017",T20I # 635
New Zealand,West Indies,New Zealand,47 runs,Nelson,"Dec 29, 2017",T20I # 636
New Zealand,West Indies,no result,,Mount Maunganui,"Jan 1, 2018",T20I # 637
New Zealand,West Indies,New Zealand,119 runs,Mount Maunganui,"Jan 3, 2018",T20I # 638
New Zealand,Pakistan,New Zealand,7 wickets,Wellington,"Jan 22, 2018",T20I # 639
New Zealand,Pakistan,Pakistan,48 runs,Auckland,"Jan 25, 2018",T20I # 640
New Zealand,Pakistan,Pakistan,18 runs,Mount Maunganui,"Jan 28, 2018",T20I # 641
Australia,New Zealand,Australia,7 wickets,Sydney,"Feb 3, 2018",T20I # 642
Afghanistan,Zimbabwe,Afghanistan,5 wickets,Sharjah,"Feb 5, 2018",T20I # 643
Afghanistan,Zimbabwe,Afghanistan,17 runs,Sharjah,"Feb 6, 2018",T20I # 644
Australia,England,Australia,5 wickets,Hobart,"Feb 7, 2018",T20I # 645
Australia,England,Australia,7 wickets,Melbourne,"Feb 10, 2018",T20I # 646
New Zealand,England,New Zealand,12 runs,Wellington,"Feb 13, 2018",T20I # 647
Bangladesh,Sri Lanka,Sri Lanka,6 wickets,Dhaka,"Feb 15, 2018",T20I # 648
New Zealand,Australia,Australia,5 wickets,Auckland,"Feb 16, 2018",T20I # 649
New Zealand,England,England,2 runs,Hamilton,"Feb 18, 2018",T20I # 650
Bangladesh,Sri Lanka,Sri Lanka,75 runs,Sylhet,"Feb 18, 2018",T20I # 651
South Africa,India,India,28 runs,Johannesburg,"Feb 18, 2018",T20I # 652
New Zealand,Australia,Australia,19 runs,Auckland,"Feb 21, 2018",T20I # 653
South Africa,India,South Africa,6 wickets,Centurion,"Feb 21, 2018",T20I # 654
South Africa,India,India,7 runs,Cape Town,"Feb 24, 2018",T20I # 655
Sri Lanka,India,Sri Lanka,5 wickets,Colombo (RPS),"Mar 6, 2018",T20I # 656
Bangladesh,India,India,6 wickets,Colombo (RPS),"Mar 8, 2018",T20I # 657
Sri Lanka,Bangladesh,-,,Colombo (RPS),"Mar 10, 2018",T20I # 658
